STATEFP,COUNTYFP,STATE,COUNTY,POP,R,D,TOTAL
27,57,Minnesota,Hubbard County,21783,8202,4462,12965
27,59,Minnesota,Isanti County,41429,16491,7138,24235
27,61,Minnesota,Itasca County,45268,15239,10786,26561
27,63,Minnesota,Jackson County,9768,3948,1745,5819
27,65,Minnesota,Kanabec County,16416,6278,2774,9242
27,67,Minnesota,Kandiyohi County,43130,14437,8440,23367
27,69,Minnesota,Kittson County,4214,1546,1006,2639
27,71,Minnesota,Koochiching County,12059,4131,2659,6922
27,73,Minnesota,Lac qui Parle County,6527,2528,1446,4040
27,75,Minnesota,Lake County,10639,3393,3647,7202
27,77,Minnesota,Lake of the Woods County,3754,1704,671,2408
27,79,Minnesota,Le Sueur County,28741,10775,5672,16818
27,81,Minnesota,Lincoln County,5568,2121,937,3115
27,83,Minnesota,Lyon County,25271,7979,4634,12893
27,85,Minnesota,McLeod County,35710,13986,6413,20933
27,87,Minnesota,Mahnomen County,5473,1142,1112,2304
27,89,Minnesota,Marshall County,9321,3721,1295,5113
27,91,Minnesota,Martin County,19484,7480,3305,11009
27,93,Minnesota,Meeker County,23341,9359,3867,13529
27,95,Minnesota,Mille Lacs County,26146,9952,4404,14689
27,97,Minnesota,Morrison County,33187,14821,4367,19558
27,99,Minnesota,Mower County,40150,10025,8899,19345
27,101,Minnesota,Murray County,8155,3363,1449,4896
27,103,Minnesota,Nicollet County,34482,9018,9622,19125
27,105,Minnesota,Nobles County,21400,5600,2933,8715
27,107,Minnesota,Norman County,6338,1953,1404,3441
27,109,Minnesota,Olmsted County,159298,39692,49491,91385
27,111,Minnesota,Otter Tail County,58741,23800,11958,36399
27,113,Minnesota,Pennington County,13874,4532,2568,7277
27,115,Minnesota,Pine County,29359,10256,5419,16001
27,117,Minnesota,Pipestone County,9121,3553,1306,4940
27,119,Minnesota,Polk County,30900,9865,5439,15594
27,121,Minnesota,Pope County,11277,4417,2477,7022
27,123,Minnesota,Ramsey County,547903,77376,211620,295977
27,125,Minnesota,Red Lake County,4046,1454,691,2196
27,127,Minnesota,Redwood County,15079,5771,2355,8284
27,129,Minnesota,Renville County,14403,5467,2496,8128
27,131,Minnesota,Rice County,67084,17464,17402,35686
27,133,Minnesota,Rock County,9301,3583,1556,5240
27,135,Minnesota,Roseau County,15117,6065,2188,8421
27,137,Minnesota,St. Louis County,198538,49017,67704,119531
27,139,Minnesota,Scott County,150689,45872,40040,87965
27,141,Minnesota,Sherburne County,98811,36222,18065,55612
27,143,Minnesota,Sibley County,14715,5864,2417,8452
27,145,Minnesota,Stearns County,162038,50959,31879,84835
27,147,Minnesota,Steele County,36596,12656,7917,21128
27,149,Minnesota,Stevens County,9765,3044,1922,5085
27,151,Minnesota,Swift County,9176,3316,1784,5193
27,153,Minnesota,Todd County,24732,9753,3286,13257
27,155,Minnesota,Traverse County,3218,1172,661,1864
27,157,Minnesota,Wabasha County,21642,8153,4696,13123
27,159,Minnesota,Wadena County,13807,5520,2023,7677
27,161,Minnesota,Waseca County,18550,6624,3496,10389
27,163,Minnesota,Washington County,265476,73764,89165,166786
27,165,Minnesota,Watonwan County,10792,3103,1987,5201
27,167,Minnesota,Wilkin County,6161,2328,1026,3430
27,169,Minnesota,Winona County,50485,13227,13333,27173
27,171,Minnesota,Wright County,140249,51973,28430,82426
27,173,Minnesota,Yellow Medicine County,9580,3734,1688,5528
28,1,Mississippi,Adams County,30275,5696,7917,13759
28,3,Mississippi,Alcorn County,36889,12818,2782,15811
28,5,Mississippi,Amite County,12205,4503,2620,7207
28,7,Mississippi,Attala County,18004,5178,3542,8832
28,9,Mississippi,Benton County,8351,2570,1679,4292
28,11,Mississippi,Bolivar County,30142,4671,8904,13755
28,13,Mississippi,Calhoun County,14241,4625,1902,6595
28,15,Mississippi,Carroll County,9732,3924,1729,5705
28,17,Mississippi,Chickasaw County,16951,4175,3810,8148
28,19,Mississippi,Choctaw County,8063,3001,1185,4225
28,21,Mississippi,Claiborne County,8911,603,3772,4453
28,23,Mississippi,Clarke County,15299,5417,2838,8347
28,25,Mississippi,Clay County,19352,4181,5844,10206
28,27,Mississippi,Coahoma County,21564,2375,6020,8507
28,29,Mississippi,Copiah County,27933,6250,6470,12897
28,31,Mississippi,Covington County,18518,5854,3416,9371
28,33,Mississippi,DeSoto County,188275,46462,28265,76248
28,35,Mississippi,Forrest County,75009,17290,13755,31725
28,37,Mississippi,Franklin County,7657,2923,1480,4464
28,39,Mississippi,George County,24425,9713,1218,11064
28,41,Mississippi,Greene County,13477,4794,966,5816
28,43,Mississippi,Grenada County,20610,6081,4734,10919
28,45,Mississippi,Hancock County,48000,16132,4504,20957
28,47,Mississippi,Harrison County,208801,46822,27728,75865
28,49,Mississippi,Hinds County,227966,25141,73550,100191
28,51,Mississippi,Holmes County,16726,1369,6588,8115
28,53,Mississippi,Humphreys County,7827,1118,3016,4189
28,55,Mississippi,Issaquena County,1220,308,355,676
28,57,Mississippi,Itawamba County,23261,9438,1249,10826
28,59,Mississippi,Jackson County,143802,36295,17375,54623
28,61,Mississippi,Jasper County,16332,4302,4341,8742
28,63,Mississippi,Jefferson County,6997,531,3327,3911
28,65,Mississippi,Jefferson Davis County,10890,2534,3599,6213
28,67,Mississippi,Jones County,67993,21226,8517,30091
28,69,Mississippi,Kemper County,9521,1787,2887,4732
28,71,Mississippi,Lafayette County,54408,12949,10070,23481
28,73,Mississippi,Lamar County,64165,20704,7340,28526
28,75,Mississippi,Lauderdale County,73751,17967,12960,31266
28,77,Mississippi,Lawrence County,12480,4285,2260,6617
28,79,Mississippi,Leake County,22741,5228,3897,9204
28,81,Mississippi,Lee County,85466,24207,12189,37003
28,83,Mississippi,Leflore County,27854,3129,7648,10893
28,85,Mississippi,Lincoln County,33936,11596,5040,16818
28,87,Mississippi,Lowndes County,58309,13800,13087,27273
28,89,Mississippi,Madison County,106871,31091,24440,56335
28,91,Mississippi,Marion County,24441,8273,3787,12194
28,93,Mississippi,Marshall County,35301,7566,8057,15830
28,95,Mississippi,Monroe County,35123,11177,5874,17279
28,97,Mississippi,Montgomery County,9661,2917,2121,5078
28,99,Mississippi,Neshoba County,28996,8320,3260,11720
28,101,Mississippi,Newton County,20866,6997,3075,10189
28,103,Mississippi,Noxubee County,10236,1240,4040,5341
28,105,Mississippi,Oktibbeha County,49789,9004,10299,19812
28,107,Mississippi,Panola County,33848,8060,7403,15635
28,109,Mississippi,Pearl River County,55876,19595,4148,24056
28,111,Mississippi,Perry County,11862,4500,1362,5922
28,113,Mississippi,Pike County,38997,8479,8646,17360
28,115,Mississippi,Pontotoc County,32461,11550,2614,14377
28,117,Mississippi,Prentiss County,25013,8370,2153,10661
28,119,Mississippi,Quitman County,6760,1026,2150,3229
28,121,Mississippi,Rankin County,155975,50895,18847,70655
28,123,Mississippi,Scott County,28061,6285,4330,10744
28,125,Mississippi,Sharkey County,4160,688,1465,2183
28,127,Mississippi,Simpson County,26629,7635,4037,11820
28,129,Mississippi,Smith County,15779,6458,1791,8327
28,131,Mississippi,Stone County,18360,5964,1802,7878
28,133,Mississippi,Sunflower County,24740,2799,6781,9683
28,135,Mississippi,Tallahatchie County,13707,2488,3105,5691
28,137,Mississippi,Tate County,28539,8707,4183,13101
28,139,Mississippi,Tippah County,21748,8054,1937,10102
28,141,Mississippi,Tishomingo County,19275,7933,1059,9147
28,143,Mississippi,Tunica County,9392,926,2580,3565
28,145,Mississippi,Union County,28866,10373,2160,12683
28,147,Mississippi,Walthall County,14294,4220,2835,7122
28,149,Mississippi,Warren County,44841,10365,10442,21056
28,151,Mississippi,Washington County,42837,5300,12503,18025
28,153,Mississippi,Wayne County,20317,6307,3624,10065
28,155,Mississippi,Webster County,9676,4291,1043,5402
28,157,Mississippi,Wilkinson County,8351,1324,2749,4130
